"SOURSE","Context","Translation"
"Welcome to Tee K.O. I am the Tournament Master and I have forged a psychic bond with every t-shirt in the universe. It\'s... a lot sweatier than I predicted.","","Welcome to Tee K.O. I am the Tournament Master and I have forged a psychic bond with every t-shirt in the universe. It\'s... a lot sweatier than I predicted."
"Welcome to Tee K.O. I am the Tournament Master. You may remember me from mid-2005 paparazzi photos of Shelley Long. We dated briefly.","","Welcome to Tee K.O. I am the Tournament Master. You may remember me from mid-2005 paparazzi photos of Shelley Long. We dated briefly."
"Welcome to Tee K.O. I am the Tournament Master. Can I interest you in a free personality test? No? All right, on with the game then.","","Welcome to Tee K.O. I am the Tournament Master. Can I interest you in a free personality test? No? All right, on with the game then."
"Welcome to Tee K.O. I am the Tournament Master and I\'m finally pulling the trigger on my first tattoo. It\'s the Japanese characters for \"survivor\""" right on the inside of my thigh.""","","Welcome to Tee K.O. I am the Tournament Master and I\'m finally pulling the trigger on my first tattoo. It\'s the Japanese characters for \"survivor\""" right on the inside of my thigh."""
"Welcome to Tee K.O. I am the Tournament Master and my horoscope says it\'s a great day to start new enterprises with others, so let\'s get started!","","Welcome to Tee K.O. I am the Tournament Master and my horoscope says it\'s a great day to start new enterprises with others, so let\'s get started!"
"Welcome to Tee K.O. I am the Tournament Master and I just found out that I am not a Summer, but an Autumn. So that\'s a whole season of shirts off to Goodwill.","","Welcome to Tee K.O. I am the Tournament Master and I just found out that I am not a Summer, but an Autumn. So that\'s a whole season of shirts off to Goodwill."
"Welcome to Tee K.O. I am the Tournament Master and I\'m looking for my grasshopper. Oh, I\'m sorry, I thought you were the cabana boy. (off mic) Can somebody make me a grasshopper! (back) Okay, back to this.","","Welcome to Tee K.O. I am the Tournament Master and I\'m looking for my grasshopper. Oh, I\'m sorry, I thought you were the cabana boy. (off mic) Can somebody make me a grasshopper! (back) Okay, back to this."
"Welcome to Tee K.O. I am the Tournament Master, and I\'m available for your next party or corporate event! But I do not do sweet sixteens. You can thank Kendra for that.","","Welcome to Tee K.O. I am the Tournament Master, and I\'m available for your next party or corporate event! But I do not do sweet sixteens. You can thank Kendra for that."
"Welcome to Tee K.O. I am the Tournament Master, and if anyone knows how to get red wine stains out of a 3,000 year old ceremonial tablecloth, please DM me.","","Welcome to Tee K.O. I am the Tournament Master, and if anyone knows how to get red wine stains out of a 3,000 year old ceremonial tablecloth, please DM me."
"Welcome to Tee K.O. I am the Tournament Master, and I may not dispense a lot of wise old sayings like those OTHER ancient masters, but remember: he who talks... less... thinks... last. Dang it, this is why I don\'t do it.","","Welcome to Tee K.O. I am the Tournament Master, and I may not dispense a lot of wise old sayings like those OTHER ancient masters, but remember: he who talks... less... thinks... last. Dang it, this is why I don\'t do it."
"Welcome to Tee K.O. I am the Tournament Master. Unless you\'re with the Old Navy credit card people, in which case that guy moved, I think.","","Welcome to Tee K.O. I am the Tournament Master. Unless you\'re with the Old Navy credit card people, in which case that guy moved, I think."
"Welcome to Tee K.O. I am the Tournament Master. Not the golf one, the one where t-shirts fight each other. Golf is ridiculous.","","Welcome to Tee K.O. I am the Tournament Master. Not the golf one, the one where t-shirts fight each other. Golf is ridiculous."
"Welcome to Tee K.O. I am the Tournament Master. Pretty mysterious huh? To learn my secret origin, check out Tee K.O. Comics issue 144! Shirt on, shirt fans!","","Welcome to Tee K.O. I am the Tournament Master. Pretty mysterious huh? To learn my secret origin, check out Tee K.O. Comics issue 144! Shirt on, shirt fans!"
"Welcome to Tee K.O. I am the Tournament Master. I have awoken from my centuries long slumber to perform my sacred duty. No, I\'m messing with you, I was just watching Dr. Phil.","","Welcome to Tee K.O. I am the Tournament Master. I have awoken from my centuries long slumber to perform my sacred duty. No, I\'m messing with you, I was just watching Dr. Phil."
"Welcome to Tee K.O. I am the Tournament Master. You may recognize my voice from the depths of your most enigmatic dreams. And I also did an iced tea commercial.","","Welcome to Tee K.O. I am the Tournament Master. You may recognize my voice from the depths of your most enigmatic dreams. And I also did an iced tea commercial."
"Welcome to Tee K.O. I am the Tournament Master and I am allergic to peanuts. A lot of people like to give me a post-tournament gift, maybe some cookies. I\'m just saying nothing with peanut butter please.","","Welcome to Tee K.O. I am the Tournament Master and I am allergic to peanuts. A lot of people like to give me a post-tournament gift, maybe some cookies. I\'m just saying nothing with peanut butter please."
"Welcome to Tee K.O. I am the Tournament Master. It\'s about as fulfilling as it sounds.","","Welcome to Tee K.O. I am the Tournament Master. It\'s about as fulfilling as it sounds."
"Welcome to Tee K.O. I am the Tournament Master. The actual tournament mastering part is fun, but there\'s a ton of admin work that goes along with it. I really need an intern.","","Welcome to Tee K.O. I am the Tournament Master. The actual tournament mastering part is fun, but there\'s a ton of admin work that goes along with it. I really need an intern."
"","",""
"Enter The Shirt","","Enter The Shirt"
"Shirts Of Fury","","Shirts Of Fury"
"Way Of The Shirt","","Way Of The Shirt"
"Tough Shirt","","Tough Shirt"
"Thread Or Alive","","Thread Or Alive"
"Shadow Of The Shirt","","Shadow Of The Shirt"
"Hard to Shirt","","Hard to Shirt"
"Kiss of the T-Shirt","","Kiss of the T-Shirt"
"","",""
"Drawing two... begin!","","Drawing two... begin!"
"On to drawing number two!","","On to drawing number two!"
"Begin drawing two!","","Begin drawing two!"
"Begin your second drawings!","","Begin your second drawings!"
"","",""
"“I knew I could do it!”","","“I knew I could do it!”"
"\"I put all of my heart into winning!”""","","\"I put all of my heart into winning!”"""
"“Now I will be famous!”","","“Now I will be famous!”"
"“BARK! WOOF! BARK BARK!”","","“BARK! WOOF! BARK BARK!”"
"“What an unexpected surprise!”","","“What an unexpected surprise!”"
"“Sorry, but my skills are superior!”","","“Sorry, but my skills are superior!”"
"“I was born to be the best!”","","“I was born to be the best!”"
"“I win! Please donate to cure Fin Rot today!”","","“I win! Please donate to cure Fin Rot today!”"
"“MY HUNGER HAS BEEN SATISFIED…FOR NOW…”","","“MY HUNGER HAS BEEN SATISFIED…FOR NOW…”"
"“I never lose!”","","“I never lose!”"
"“Hollywood, here I come!”","","“Hollywood, here I come!”"
"“We’re having so much fun, guys!”","","“We’re having so much fun, guys!”"
"“What is happening? Did I win?”","","“What is happening? Did I win?”"
"“I deserve this!”","","“I deserve this!”"
"“All my dreams are coming true!”","","“All my dreams are coming true!”"
"“I am honored to accept this victory.”","","“I am honored to accept this victory.”"
"","",""
"Gauntlet one!","","Gauntlet one!"
"","",""
"A new challenger appears…","","A new challenger appears…"
"Oh, a new challenger appears…","","Oh, a new challenger appears…"
"","",""
"Time grows short. Hurry up and finish already!","","Time grows short. Hurry up and finish already!"
"Make haste before time runs out!","","Make haste before time runs out!"
"That timer is not for decoration. Finish quickly!","","That timer is not for decoration. Finish quickly!"
"Only seconds remain!","","Only seconds remain!"
"Time is about to expire. You may want to finish up.","","Time is about to expire. You may want to finish up."
"","",""
"A tie on the first fight? Uh, I choose... this one!","","A tie on the first fight? Uh, I choose... this one!"
"A tie on the first battle? Fine, I\'ll choose.","","A tie on the first battle? Fine, I\'ll choose."
"A tie vote so soon? Well personally, I like this one.","","A tie vote so soon? Well personally, I like this one."
"Starting things off with a tie? Not very dramatic. Let\'s just say this one wins.","","Starting things off with a tie? Not very dramatic. Let\'s just say this one wins."
"Ugh. I hate ties. Let\'s just go with this one.","","Ugh. I hate ties. Let\'s just go with this one."
"","",""
"Go!","","Go!"
"","",""
"Fight! And by fight I mean enter your votes on your devices.","","Fight! And by fight I mean enter your votes on your devices."
"Fight! Fight by submitting your votes on your devices, that is.","","Fight! Fight by submitting your votes on your devices, that is."
"Fight! Using your devices to vote.","","Fight! Using your devices to vote."
"","",""
"You will use your device to draw three drawings.","","You will use your device to draw three drawings."
"","",""
"Keep writing! Write like the wind!","","Keep writing! Write like the wind!"
"You didn\'t give up after one did you? Keep writing!","","You didn\'t give up after one did you? Keep writing!"
"I\'m looking for like three or four from each of you. Does that seem doable? Just give it a shot.","","I\'m looking for like three or four from each of you. Does that seem doable? Just give it a shot."
"Well I know that\'s not your best material. Write another!","","Well I know that\'s not your best material. Write another!"
"Keep those slogans coming!","","Keep those slogans coming!"
"","",""
"The final gauntlet is upon us and only the most worthy shirts from the previous rounds will compete. Prepare to cast your votes for the last time.","","The final gauntlet is upon us and only the most worthy shirts from the previous rounds will compete. Prepare to cast your votes for the last time."
"The final gauntlet is here, and only the best shirts from the previous rounds remain. The Tournament ends here!","","The final gauntlet is here, and only the best shirts from the previous rounds remain. The Tournament ends here!"
"So it\'s come to this, the final gauntlet. Only the strongest shirts from the previous rounds will compete. And only one will come out alive.","","So it\'s come to this, the final gauntlet. Only the strongest shirts from the previous rounds will compete. And only one will come out alive."
"Brace yourselves for the final gauntlet where the toughest shirts from the previous rounds go toe to toe. Prepare to vote!","","Brace yourselves for the final gauntlet where the toughest shirts from the previous rounds go toe to toe. Prepare to vote!"
"We are poised to enter the final gauntlet. Only the greatest t-shirts from the previous rounds are eligible. Prepare to vote. One last time.","","We are poised to enter the final gauntlet. Only the greatest t-shirts from the previous rounds are eligible. Prepare to vote. One last time."
"","",""
"SHIRTALITY!","","SHIRTALITY!"
"Ooh! SHIRTALITY!","","Ooh! SHIRTALITY!"
"WHOA SHIRTALITY!","","WHOA SHIRTALITY!"
"Are you Ki- a SHIRTALITY!?","","Are you Ki- a SHIRTALITY!?"
"Oh! SHIRTALITY!","","Oh! SHIRTALITY!"
"WOW! SHIRTALITY!","","WOW! SHIRTALITY!"
"","",""
"The fates have blessed you with a series of pictures and slogans. Select one of each to create your t-shirt champion. I don’t want to pressure you, but A LOT is riding on this.","","The fates have blessed you with a series of pictures and slogans. Select one of each to create your t-shirt champion. I don’t want to pressure you, but A LOT is riding on this."
"Select one drawing and one slogan to create the perfect t-shirt combination. And I do mean perfect.","","Select one drawing and one slogan to create the perfect t-shirt combination. And I do mean perfect."
"You have a series of drawings and slogans at your disposal. Choose one of each to make the best t-shirt champion that you can. Don\'t phone it in.","","You have a series of drawings and slogans at your disposal. Choose one of each to make the best t-shirt champion that you can. Don\'t phone it in."
"","",""
"By the way, if this is a little TOO much drawing for you, you may want to try the Quick Training mode in the game settings.","","By the way, if this is a little TOO much drawing for you, you may want to try the Quick Training mode in the game settings."
"If you\'d rather get to the action faster, next time try the Quick Training mode in the game settings.","","If you\'d rather get to the action faster, next time try the Quick Training mode in the game settings."
"Incidentally, if you\'ve only got two drawings in you, feel free to use the Quick Training mode in the game settings.","","Incidentally, if you\'ve only got two drawings in you, feel free to use the Quick Training mode in the game settings."
"Looking for a shorter game? Try the Quick Training mode in the game settings. I won\'t tell.","","Looking for a shorter game? Try the Quick Training mode in the game settings. I won\'t tell."
"","",""
"Create your new shirt warrior.","","Create your new shirt warrior."
"May the spirits of humorous juxtaposition guide you.","","May the spirits of humorous juxtaposition guide you."
"Make a new shirt! Do it!","","Make a new shirt! Do it!"
"You know what to do... make a shirt.","","You know what to do... make a shirt."
"Design your new shirt now!","","Design your new shirt now!"
"Forge a new t-shirt champion!","","Forge a new t-shirt champion!"
"Dream up something special.","","Dream up something special."
"Create your deadly t-shirt warrior!","","Create your deadly t-shirt warrior!"
"Do what feels right.","","Do what feels right."
"Let\'s see some new shirts!","","Let\'s see some new shirts!"
"Begin your new shirt design now!","","Begin your new shirt design now!"
"","",""
"For your last exercise, you will write as many slogans or phrases as you can.","","For your last exercise, you will write as many slogans or phrases as you can."
"","",""
"Begin your first drawing... NOW!","","Begin your first drawing... NOW!"
"It\'s time for your first drawing... right now!","","It\'s time for your first drawing... right now!"
"Get your drawing fingers wiggling, it\'s time to draw.","","Get your drawing fingers wiggling, it\'s time to draw."
"","",""
"You will use your device to draw two drawings.","","You will use your device to draw two drawings."
"","",""
"versus…","","versus…"
"","",""
"Interesting. I get what you were going for with these. But this time, I want to see more colors.","","Interesting. I get what you were going for with these. But this time, I want to see more colors."
"Not bad. But let\'s see a little variety this time. You can change your line thickness with that little button ya know.","","Not bad. But let\'s see a little variety this time. You can change your line thickness with that little button ya know."
"Excellent. This time show me something different. Remember to use the suggestion button if you need an idea.","","Excellent. This time show me something different. Remember to use the suggestion button if you need an idea."
"Decent enough. But a bit traditional. This time try changing your shirt color with the little tabs at the bottom.","","Decent enough. But a bit traditional. This time try changing your shirt color with the little tabs at the bottom."
"I couldn\'t have done better myself. Well, actually I could. This time try to think more like me.","","I couldn\'t have done better myself. Well, actually I could. This time try to think more like me."
"","",""
"Let the Tournament begin!","","Let the Tournament begin!"
"","",""
"The second gauntlet awaits and the slimy tentacles of destiny have shuffled your drawings and slogans.","","The second gauntlet awaits and the slimy tentacles of destiny have shuffled your drawings and slogans."
"The second gauntlet is upon us, and the withered hand of lady luck has shuffled your drawings and slogans.","","The second gauntlet is upon us, and the withered hand of lady luck has shuffled your drawings and slogans."
"As we approach the second gauntlet, the cruel winds of chance have switched around your drawings and slogans.","","As we approach the second gauntlet, the cruel winds of chance have switched around your drawings and slogans."
"The second gauntlet looms, and the hairy paws of kismet have shuffled your drawings and slogans.","","The second gauntlet looms, and the hairy paws of kismet have shuffled your drawings and slogans."
"The second gauntlet is at hand, and the ethereal algebra of chance has redistributed your drawings and slogans.","","The second gauntlet is at hand, and the ethereal algebra of chance has redistributed your drawings and slogans."
"","",""
"Gauntlet two!","","Gauntlet two!"
"","",""
"I have brought you all here to T-Shirt Island, because you are the greatest novelty t-shirt champions in this realm. And because I’m trying to make more friends outside of work.","","I have brought you all here to T-Shirt Island, because you are the greatest novelty t-shirt champions in this realm. And because I’m trying to make more friends outside of work."
"Thank you all for joining me here on T-Shirt Island. Those of you who live will receive a free flight home.","","Thank you all for joining me here on T-Shirt Island. Those of you who live will receive a free flight home."
"I hope you all enjoyed the boat trip to T-Shirt Island. If you\'re going to be seasick, do try to aim AWAY from the crystal blue waters of my island home.","","I hope you all enjoyed the boat trip to T-Shirt Island. If you\'re going to be seasick, do try to aim AWAY from the crystal blue waters of my island home."
"We\'ve arrived at scenic T-Shirt Island, home of the Tee K.O. Tournament. And also home of the Beefy T Burger. Ask for it by name.","","We\'ve arrived at scenic T-Shirt Island, home of the Tee K.O. Tournament. And also home of the Beefy T Burger. Ask for it by name."
"Feel free to explore T-Shirt Island during your training breaks. But keep to the trails. Every time one of you gets immolated by a fire spirit, my insurance goes up.","","Feel free to explore T-Shirt Island during your training breaks. But keep to the trails. Every time one of you gets immolated by a fire spirit, my insurance goes up."
"All the luxuries of T-Shirt Island are at your disposal. Except the business center. SOMEBODY jammed the printer again. All right, it was me.","","All the luxuries of T-Shirt Island are at your disposal. Except the business center. SOMEBODY jammed the printer again. All right, it was me."
"Feast your eyes on beautiful T-Shirt Island. I call it that because it\'s kind of shaped like a t-shirt. And because of the t-shirt themed battle royale that we hold here. So it works two ways!","","Feast your eyes on beautiful T-Shirt Island. I call it that because it\'s kind of shaped like a t-shirt. And because of the t-shirt themed battle royale that we hold here. So it works two ways!"
"For some of you, T-Shirt Island will be the site of your rise to eternal greatness. For the rest of you, at least it\'s a paid vacation. Make those continental breakfasts count.","","For some of you, T-Shirt Island will be the site of your rise to eternal greatness. For the rest of you, at least it\'s a paid vacation. Make those continental breakfasts count."
"I\'ve brought you to T-Shirt Island to fight, but don\'t forget to do a little shopping too. The shirts you create will be available in the gift shop, along with several copies of my autobiography, \"Master of My Own Tournament\""".""","","I\'ve brought you to T-Shirt Island to fight, but don\'t forget to do a little shopping too. The shirts you create will be available in the gift shop, along with several copies of my autobiography, \"Master of My Own Tournament\"""."""
"I\'ve summoned you all to T-Shirt Island because you show incredible talent for t-shirt warfare. Except for one of you who I invited by mistake, but every tournament needs a loser, right?","","I\'ve summoned you all to T-Shirt Island because you show incredible talent for t-shirt warfare. Except for one of you who I invited by mistake, but every tournament needs a loser, right?"
"Once every hundred years I assemble the greatest t-shirt fighters from around the globe to do battle on T-Shirt Island. And sometimes I get bored and do it sooner with whoever\'s around.","","Once every hundred years I assemble the greatest t-shirt fighters from around the globe to do battle on T-Shirt Island. And sometimes I get bored and do it sooner with whoever\'s around."
"History\'s greatest t-shirt warriors train their entire lives to make it to T-Shirt Island. Which is why I\'m extra sorry I didn\'t clean up before you got here. Just kick aside the bones of our last contestants and we\'ll get started.","","History\'s greatest t-shirt warriors train their entire lives to make it to T-Shirt Island. Which is why I\'m extra sorry I didn\'t clean up before you got here. Just kick aside the bones of our last contestants and we\'ll get started."
"You\'ll have to use all your t-shirt design prowess to make it off T-Shirt Island alive. Or slip the boat guy 20 bucks and he\'ll usually take you back. Jerry\'s a good guy.","","You\'ll have to use all your t-shirt design prowess to make it off T-Shirt Island alive. Or slip the boat guy 20 bucks and he\'ll usually take you back. Jerry\'s a good guy."
"I have brought you all here to T-Shirt Island because I sense in you a great power. And because I bought some furniture on the internet and it takes at least two people to put it together, pleaaase.","","I have brought you all here to T-Shirt Island because I sense in you a great power. And because I bought some furniture on the internet and it takes at least two people to put it together, pleaaase."
"I have lured you all here to T-Shirt Island to take part in a t-shirt battle to the death. Also the fire spirits are having this party later, everyone\'s bringing a date sooooo... I thought one of yooooou- forget it! I\'m kidding! Let\'s just do the Tournament.","","I have lured you all here to T-Shirt Island to take part in a t-shirt battle to the death. Also the fire spirits are having this party later, everyone\'s bringing a date sooooo... I thought one of yooooou- forget it! I\'m kidding! Let\'s just do the Tournament."
"I have gathered you here on T-Shirt Island because you are the best novelty t-shirt fighters on the planet. Now if we\'re talking other planets? Forget it. So many better options than you. Like a million better. But, you know, we\'ll take what we can get.","","I have gathered you here on T-Shirt Island because you are the best novelty t-shirt fighters on the planet. Now if we\'re talking other planets? Forget it. So many better options than you. Like a million better. But, you know, we\'ll take what we can get."
"For centuries, the world\'s hottest novelty t-shirts have been created here on T-Shirt Island, by generations of semi-willing combatants. Who knows, the shirt you make today could be the next \"I\'M WITH STUPID\"""!""","","For centuries, the world\'s hottest novelty t-shirts have been created here on T-Shirt Island, by generations of semi-willing combatants. Who knows, the shirt you make today could be the next \"I\'M WITH STUPID\"""!"""
"I have brought you here to T-Shirt Island to make funny t-shirts and chew bubblegum. And I\'m ALL OUT OF GUM. But I do have ribbon candy if you\'re into that.","","I have brought you here to T-Shirt Island to make funny t-shirts and chew bubblegum. And I\'m ALL OUT OF GUM. But I do have ribbon candy if you\'re into that."
"I\'ve beckoned you here to T-Shirt Island for one reason and one reason only: to engage in deadly t-shirt battle and maybe play some foosball if there\'s time. Okay, that\'s two reasons.","","I\'ve beckoned you here to T-Shirt Island for one reason and one reason only: to engage in deadly t-shirt battle and maybe play some foosball if there\'s time. Okay, that\'s two reasons."
"I\'ve brought you all here to T-Shirt Island because you are the deadliest t-shirt warriors I know. And because I hate being alone on my birthday.","","I\'ve brought you all here to T-Shirt Island because you are the deadliest t-shirt warriors I know. And because I hate being alone on my birthday."
"I\'ve brought you all here to T-Shirt Island because one of you... is a MURDERER. Just kidding, it\'s to make t-shirts!","","I\'ve brought you all here to T-Shirt Island because one of you... is a MURDERER. Just kidding, it\'s to make t-shirts!"
"I\'ve brought you all here to T-Shirt Island to have the wildest Spring Break of our lives! Oh wait, no, that\'s the next group. You guys are here for the t-shirt thing?","","I\'ve brought you all here to T-Shirt Island to have the wildest Spring Break of our lives! Oh wait, no, that\'s the next group. You guys are here for the t-shirt thing?"
"I\'ve brought you to T-Shirt Island to engage in deadly t-shirt combat. Each of you has the heart of a true warrior. Which you\'ll find in a jar under your seat. Eat it now or save it for later.","","I\'ve brought you to T-Shirt Island to engage in deadly t-shirt combat. Each of you has the heart of a true warrior. Which you\'ll find in a jar under your seat. Eat it now or save it for later."
"Just as the prophecy foretold, Earth\'s greatest t-shirt champions have gathered to do battle on T-Shirt Island. The prophecy also foretold a lot of stuff that DIDN\'T happen, but what are you gonna do, amirite?","","Just as the prophecy foretold, Earth\'s greatest t-shirt champions have gathered to do battle on T-Shirt Island. The prophecy also foretold a lot of stuff that DIDN\'T happen, but what are you gonna do, amirite?"
"I have brought you all here to T-Shirt Island to battle for shirt supremacy. And to listen to a very brief timeshare pitch, but we\'ll get to that later.","","I have brought you all here to T-Shirt Island to battle for shirt supremacy. And to listen to a very brief timeshare pitch, but we\'ll get to that later."
"Thank you all for joining me on T-Shirt Island. I hope your accommodations will be to your liking. Although one of you is going to have to bunk with me. Fair warning: I am a kicker.","","Thank you all for joining me on T-Shirt Island. I hope your accommodations will be to your liking. Although one of you is going to have to bunk with me. Fair warning: I am a kicker."
"I\'m glad you could join me on T-Shirt Island. We only have one rule here: have fun! Oh, and make sure you\'re on time for the Tournament. And no pets. And everyone washes their own dishes. And, actually there\'s a big list of them. I\'ll just get you a copy. What\'s your email address?","","I\'m glad you could join me on T-Shirt Island. We only have one rule here: have fun! Oh, and make sure you\'re on time for the Tournament. And no pets. And everyone washes their own dishes. And, actually there\'s a big list of them. I\'ll just get you a copy. What\'s your email address?"
"I\'ve brought you all here to T-Shirt Island because you are the cream of the t-shirt fighting crop. And because I just finished the last season of The Bachelor and I have GOT to talk about it with someone.","","I\'ve brought you all here to T-Shirt Island because you are the cream of the t-shirt fighting crop. And because I just finished the last season of The Bachelor and I have GOT to talk about it with someone."
"I\'ve brought you here to T-Shirt Island to face the greatest challenge of your lives: helping me choose a picture for my online dating profile. But first, let\'s do this tournament.","","I\'ve brought you here to T-Shirt Island to face the greatest challenge of your lives: helping me choose a picture for my online dating profile. But first, let\'s do this tournament."
"I have brought you all here to T-Shirt Island, because you are the Earth\'s last hope for survival. Haha, no, can you imagine? No no, we\'re just going to make some funny t-shirts.","","I have brought you all here to T-Shirt Island, because you are the Earth\'s last hope for survival. Haha, no, can you imagine? No no, we\'re just going to make some funny t-shirts."
"","",""
"I hope you chose wisely.","","I hope you chose wisely."
"Feel good about that, hmm? Well, we\'ll see.","","Feel good about that, hmm? Well, we\'ll see."
"Good luck.","","Good luck."
"I\'ve got a good feeling about this batch.","","I\'ve got a good feeling about this batch."
"This oughta be good.","","This oughta be good."
"silence[unsubtitled]","","silence[unsubtitled]"
"","",""
"The defending champion wins ties. Bad luck for you, new meat.","","The defending champion wins ties. Bad luck for you, new meat."
"The tie goes to the defender.","","The tie goes to the defender."
"The reigning champion wins ties. Next time get more votes!","","The reigning champion wins ties. Next time get more votes!"
"A tie won\'t cut it. The defender wins!","","A tie won\'t cut it. The defender wins!"
"The defending shirt always wins ties. Deal with it, man!","","The defending shirt always wins ties. Deal with it, man!"
"","",""
"Winners!","","Winners!"
"Oo, you Winners look good!","","Oo, you Winners look good!"
"Ha ha! Winners!","","Ha ha! Winners!"
"","",""
"What you draw matters not. Let your heart be your guide. And if your heart can\'t think of anything, just hit the suggestion button.","","What you draw matters not. Let your heart be your guide. And if your heart can\'t think of anything, just hit the suggestion button."
"Draw whatever your heart desires. Like literally anything. It doesn\'t matter. But if you need an idea, hit the suggestion button.","","Draw whatever your heart desires. Like literally anything. It doesn\'t matter. But if you need an idea, hit the suggestion button."
"\"But what should I draw?\""" I hear you ask. \"""Pretty much whatever","\""" I reply. And if you can\'t think of something","\"But what should I draw?\""" I hear you ask. \"""Pretty much whatever","",""
"Draw something cute, something gross, something funny. Honestly, I don\'t care what you draw, but if you need help, hit the suggestion button.","","Draw something cute, something gross, something funny. Honestly, I don\'t care what you draw, but if you need help, hit the suggestion button."
"What you draw is of no consequence. I mean it\'s of some consequence, but like don\'t stress out, basically. Use the suggestion button if you\'re out of ideas altogether.","","What you draw is of no consequence. I mean it\'s of some consequence, but like don\'t stress out, basically. Use the suggestion button if you\'re out of ideas altogether."
"You may draw anything that pleases you. If you need an idea, use the suggestion button. I promise I\'m not judging you. Yet.","","You may draw anything that pleases you. If you need an idea, use the suggestion button. I promise I\'m not judging you. Yet."
"Feel free to draw anything that strikes your fancy. And if your fancy isn\'t feeling so fancy, hit the suggestion button.","","Feel free to draw anything that strikes your fancy. And if your fancy isn\'t feeling so fancy, hit the suggestion button."
"You may draw whatever you wish. And if your wish is to know what to draw, hit the suggestion button.","","You may draw whatever you wish. And if your wish is to know what to draw, hit the suggestion button."
"Draw anything that pops into that little head of yours. If nothing pops, just hit the suggestion button.","","Draw anything that pops into that little head of yours. If nothing pops, just hit the suggestion button."
"You may draw whatever you choose. Go nuts with it. But if you\'re stumped, feel free to use the suggestion button.","","You may draw whatever you choose. Go nuts with it. But if you\'re stumped, feel free to use the suggestion button."
"","",""
"Begin!","","Begin!"
"","",""
"We have a champion!","","We have a champion!"
"","",""
"Time for a training break.","","Time for a training break."
"How about a training break?","","How about a training break?"
"This feels like a good time for a training break.","","This feels like a good time for a training break."
"Whew! I need a breather. Let\'s take a training break.","","Whew! I need a breather. Let\'s take a training break."
"I think we could all use a training break.","","I think we could all use a training break."
"","",""
"The kind of things you might see on, oh I don’t know, a t-shirt.","","The kind of things you might see on, oh I don’t know, a t-shirt."
"These have nothing to do with your drawings, so just put those out of your mind.","","These have nothing to do with your drawings, so just put those out of your mind."
"Something short and snappy like you might see on a t-shirt.","","Something short and snappy like you might see on a t-shirt."
"Something really clever or really dumb. I\'m sure anything you write will be one of those.","","Something really clever or really dumb. I\'m sure anything you write will be one of those."
"Whimsy is highly encouraged.","","Whimsy is highly encouraged."
"","",""
"DRAW ON YOUR DEVICE","","МАЛЮЙТЕ НА ВАШИХ ПРИСТРОЯХ"
"DRAW ON YOUR DEVICE (2/2)","","DRAW ON YOUR DEVICE (2/2)"
"DRAW ON YOUR DEVICE (3/3)","","DRAW ON YOUR DEVICE (3/3)"
"DRAW ON YOUR DEVICE (1/3)","","DRAW ON YOUR DEVICE (1/3)"
"DRAW ON YOUR DEVICE (2/3)","","DRAW ON YOUR DEVICE (2/3)"
"WRITE ON YOUR DEVICE","","WRITE ON YOUR DEVICE"
"MAKE YOUR SHIRT ON YOUR DEVICE","","MAKE YOUR SHIRT ON YOUR DEVICE"
"DRAW ON YOUR DEVICE (1/2)","","DRAW ON YOUR DEVICE (1/2)"
